关键词,id,类型,标题,评分,评价人数,年份,简介,链接
The Lion King,32892953,书籍,The Lion King Idea Lab ,(目前无人评价),,,,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F32892953%2F&query=The+Lion+King&cat_id=1001&type=search&pos=19
The Lion King,194089401,,Lion King,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F194089401%2F&query=The+Lion+King&cat_id=&type=search&pos=0
The Lion King,130412736,,Lion King,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F130412736%2F&query=The+Lion+King&cat_id=&type=search&pos=1
The Lion King,44988933,,lion king,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2FYous%2F&query=The+Lion+King&cat_id=&type=search&pos=2
The Lion King,83733826,,King of lion,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F83733826%2F&query=The+Lion+King&cat_id=&type=search&pos=3
The Lion King,148422147,,田广美Lion King,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F148422147%2F&query=The+Lion+King&cat_id=&type=search&pos=4
Frozen II,25887288,电影,冰雪奇缘2 ,7.2,271130,2019,原名:Frozen II / 克里斯·巴克 / 克里斯汀·贝尔 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25887288%2F&query=Frozen+II&cat_id=1002&type=search&pos=0
Frozen II,25300674,电影,冰封侠：时空行者 ,2.6,9844,2018,原名:冰封侠：时空行者 / 叶伟民 / 甄子丹 / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25300674%2F&query=Frozen+II&cat_id=1002&type=search&pos=1
Frozen II,30120323,音乐,II - Frozen Light of Eternal Darkness ,(评价人数不足),,2017,Battle Dagorath / 摇滚 / 2017,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F30120323%2F&query=Frozen+II&cat_id=1003&type=search&pos=2
Frozen II,34996245,音乐,東丹傳奇 贰 ,8.2,34,2020,FROZEN MOON / 摇滚 / 2020,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34996245%2F&query=Frozen+II&cat_id=1003&type=search&pos=3
Frozen II,12764558,书籍,"The Frozen Deep and Other Stories, Volume II ",(目前无人评价),,2009,"Collins, Wilkie / 2009",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F12764558%2F&query=Frozen+II&cat_id=1001&type=search&pos=4
Frozen II,12764560,书籍,"The Frozen Deep and Other Stories, Volume II ",(目前无人评价),,2009,"Collins, Wilkie / 2009",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F12764560%2F&query=Frozen+II&cat_id=1001&type=search&pos=5
Frozen II,12764561,书籍,"The Frozen Deep and Other Stories, Volume II ",(目前无人评价),,2009,"Collins, Wilkie / 2009",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F12764561%2F&query=Frozen+II&cat_id=1001&type=search&pos=6
Frozen II,12764562,书籍,"The Frozen Deep and Other Stories, Volume II ",(目前无人评价),,2009,"Collins, Wilkie / 2009",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F12764562%2F&query=Frozen+II&cat_id=1001&type=search&pos=7
Frozen II,21966722,书籍,Frozen in Time An Epic Story of Survival and a Modern Quest for Lost Heroes of World War II ,(目前无人评价),,,"Zuckoff, Mitchell",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F21966722%2F&query=Frozen+II&cat_id=1001&type=search&pos=8
Frozen II,30990876,书籍,Frozen in Time: An Epic Story of Survival and a Modern Quest for the Lost Heroes of World War II ,(目前无人评价),,,,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F30990876%2F&query=Frozen+II&cat_id=1001&type=search&pos=9
Frozen II,20416199,书籍,Frozen in Time ,(评价人数不足),,2013,Mitchell Zuckoff / Harper / 2013,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F20416199%2F&query=Frozen+II&cat_id=1001&type=search&pos=10
Frozen II,34884379,音乐,"숨겨진 세상(From ""겨울왕국 II"") ",6.7,176,2019,金泰妍 Taeyeon / 原声 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34884379%2F&query=Frozen+II&cat_id=1003&type=search&pos=11
Frozen II,26415628,书籍,81 Days Below Zero ,(目前无人评价),,2015,Brian Murphy / Da Capo Press / 2015,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F26415628%2F&query=Frozen+II&cat_id=1001&type=search&pos=12
Frozen II,,,,,,,,
Frozen II,743240725,日记,冰雪奇缘2 Frozen II,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F743240725%2F&query=Frozen+II&cat_id=1015&type=search&pos=0
Frozen II,737110054,日记,Making of Contemporary Europe,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F737110054%2F&query=Frozen+II&cat_id=1015&type=search&pos=1
Frozen II,749968290,日记,2010~2019十年，太被高估的十部電影,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F749968290%2F&query=Frozen+II&cat_id=1015&type=search&pos=2
Frozen II,169682040,日记,Fulfil the Sacrifice with the Christian Blood 异教...,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F169682040%2F&query=Frozen+II&cat_id=1015&type=search&pos=3
Frozen II,747620280,日记,2019年，打動我的5部電影和15個電影片段,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F747620280%2F&query=Frozen+II&cat_id=1015&type=search&pos=4
Spider-Man: Far from Home,26931786,电影,蜘蛛侠：英雄远征 ,7.7,476728,2019,原名:Spider-Man: Far from Home / 乔·沃茨 / 汤姆·赫兰德 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F26931786%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=0
Spider-Man: Far from Home,34439768,音乐,Spider-Man: Far from Home (Original Motion Picture Soundtrack) ,7.3,168,2019,迈克·吉亚奇诺 Michael Giacchino / 原声 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34439768%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1003&type=search&pos=1
Spider-Man: Far from Home,34790126,书籍,Spider-Man: Far From Home Middle Grade Novel ,(目前无人评价),,2019,Preeti Chhibber / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F34790126%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1001&type=search&pos=2
Spider-Man: Far from Home,34799681,书籍,Spider-Man: Far From Home ,(评价人数不足),,2019,Calliope Glass / Marvel Press / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F34799681%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1001&type=search&pos=3
Spider-Man: Far from Home,24716045,电影,远离尘嚣 ,7.0,11491,2015,原名:Far From the Madding Crowd / 托马斯·温特伯格 / 凯瑞·穆里根 / 2015,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F24716045%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=4
Spider-Man: Far from Home,3303327,电影,小黄历险记 ,7.9,142,1995,原名:Far from Home: The Adventures of Yellow Dog / 菲力浦·博萨斯 / 汤姆·鲍尔 / 1995,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F3303327%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=5
Spider-Man: Far from Home,1305986,电影,远离天堂 ,7.6,6588,2002,原名:Far from Heaven / 托德·海因斯 / 朱丽安·摩尔 / 2002,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1305986%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=6
Spider-Man: Far from Home,1301622,电影,离乡恨 ,(暂无评分),,1989,原名:Far from Home / 苏珊·泰瑞尔 / 1989,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1301622%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=7
Spider-Man: Far from Home,26279624,书籍,Home ,(目前无人评价),,2014,Francis Pryor / Allen Lane / 2014,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F26279624%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1001&type=search&pos=8
Spider-Man: Far from Home,1902009,电影,家乡的消息 ,8.1,497,1977,原名:News from Home / 香特尔·阿克曼 / 香特尔·阿克曼 / 1977,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1902009%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=9
Spider-Man: Far from Home,34889300,电影,他乡囚徒 ,(尚未上映),,2020,原名:他乡囚徒 / 张思庆 / 2020,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F34889300%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=10
Spider-Man: Far from Home,1295736,电影,远离尘嚣 ,7.2,135,1967,原名:Far from the Madding Crowd / 约翰·施莱辛格 / 朱莉·克里斯蒂 / 1967,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1295736%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=11
Spider-Man: Far from Home,1303771,电影,越南家书 ,8.0,54,1987,原名:Dear America: Letters Home from Vietnam / 比尔·肯特里 / 汤姆·贝伦杰 / 1987,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1303771%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=12
Spider-Man: Far from Home,1777668,电影,远离尘嚣 ,7.8,270,1998,原名:Far From The Madding Crowd / 尼古拉斯·雷顿 / 帕洛玛·巴尔扎 / 1998,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1777668%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=13
Spider-Man: Far from Home,30192269,电影,背离亲缘 ,(暂无评分),,2018,原名:Far From The Tree /  / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F30192269%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=14
Spider-Man: Far from Home,1307756,电影,异域 ,8.3,4559,1990,原名:異域 / 朱延平 / 庹宗华 / 1990,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1307756%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=15
Spider-Man: Far from Home,26956892,音乐,Home ,(评价人数不足),,2020,From Overseas / 电子 / 2020,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F26956892%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1003&type=search&pos=16
Spider-Man: Far from Home,2065366,电影,U2 Go Home: Live from Slane Castle ,9.4,86,2002,原名:U2 Go Home: Live from Slane Castle / 哈密什·汉密尔顿 / U2 / 2002,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F2065366%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=17
Spider-Man: Far from Home,1483000,电影,我的美丽乡愁 ,5.8,1803,2002,原名:我的美丽乡愁 / 俞钟 / 徐静蕾 / 2002,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1483000%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=18
Spider-Man: Far from Home,24718802,电影,远离人迹 ,7.7,4663,2014,原名:Loin des hommes / 达维德·厄洛芬 / 维果·莫腾森 / 2014,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F24718802%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1002&type=search&pos=19
Spider-Man: Far from Home,1325762,,Far from NY,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2FfarfromNY%2F&query=Spider-Man%3A+Far+from+Home&cat_id=&type=search&pos=0
Spider-Man: Far from Home,146654972,,Far away from h,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F146654972%2F&query=Spider-Man%3A+Far+from+Home&cat_id=&type=search&pos=1
Spider-Man: Far from Home,156083547,,Far From Shore,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F156083547%2F&query=Spider-Man%3A+Far+from+Home&cat_id=&type=search&pos=2
Spider-Man: Far from Home,177505576,,Far away from h,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F177505576%2F&query=Spider-Man%3A+Far+from+Home&cat_id=&type=search&pos=3
Spider-Man: Far from Home,151012894,,Far away from l,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F151012894%2F&query=Spider-Man%3A+Far+from+Home&cat_id=&type=search&pos=4
Spider-Man: Far from Home,546885260,日记,"Far, far away from home",,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F546885260%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1015&type=search&pos=0
Spider-Man: Far from Home,527850166,日记,so far away from home,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F527850166%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1015&type=search&pos=1
Spider-Man: Far from Home,353560965,日记,Gwen's Speech from The Amazing Spider-Man 2,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F353560965%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1015&type=search&pos=2
Spider-Man: Far from Home,160332081,日记,Very Far From Home,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F160332081%2F&query=Spider-Man%3A+Far+from+Home&cat_id=1015&type=search&pos=3
Captain Marvel,26213252,电影,惊奇队长 ,6.9,423686,2019,原名:Captain Marvel / 安娜·波顿 / 布丽·拉尔森 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F26213252%2F&query=Captain+Marvel&cat_id=1002&type=search&pos=0
Captain Marvel,34678231,电影,惊奇队长2 ,(尚未上映),,2022,原名:Captain Marvel II / 布丽·拉尔森 / 2022,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F34678231%2F&query=Captain+Marvel&cat_id=1002&type=search&pos=1
Captain Marvel,5070386,电影,惊奇队长的奇妙冒险 ,8.8,101,1941,原名:Adventures of Captain Marvel / Richard C. Kahn / 汤姆·泰勒 / 1941,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F5070386%2F&query=Captain+Marvel&cat_id=1002&type=search&pos=2
Captain Marvel,30484559,音乐,Captain Marvel (Original Motion Picture Soundtrack) ,6.2,175,2019,Pinar Toprak / 原声 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F30484559%2F&query=Captain+Marvel&cat_id=1003&type=search&pos=3
Captain Marvel,3868991,音乐,Captain Marvel ,8.6,32,1999,Stan Getz / 1999,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F3868991%2F&query=Captain+Marvel&cat_id=1003&type=search&pos=4
Captain Marvel,2066833,音乐,Captain Marvel ,(评价人数不足),,2003,Stan Getz / 2003,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F2066833%2F&query=Captain+Marvel&cat_id=1003&type=search&pos=5
Captain Marvel,3868990,音乐,Captain Marvel ,(评价人数不足),,2008,Stan Getz / 2008,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F3868990%2F&query=Captain+Marvel&cat_id=1003&type=search&pos=6
Captain Marvel,3868987,音乐,Captain Marvel ,(评价人数不足),,2008,Stan Getz / 2008,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F3868987%2F&query=Captain+Marvel&cat_id=1003&type=search&pos=7
Captain Marvel,6390823,电影,美国队长2 ,8.0,369943,2014,原名:Captain America: The Winter Soldier / 安东尼·罗素 / 克里斯·埃文斯 / 2014,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F6390823%2F&query=Captain+Marvel&cat_id=1002&type=search&pos=8
Captain Marvel,25820460,电影,美国队长3 ,7.9,388529,2016,原名:Captain America: Civil War / 安东尼·罗素 / 克里斯·埃文斯 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25820460%2F&query=Captain+Marvel&cat_id=1002&type=search&pos=9
Captain Marvel,2138838,电影,美国队长 ,7.0,295723,2011,原名:Captain America: The First Avenger / 乔·庄斯顿 / 克里斯·埃文斯 / 2011,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F2138838%2F&query=Captain+Marvel&cat_id=1002&type=search&pos=10
Captain Marvel,26694467,电影,美国队长：75周年英雄史 ,8.1,582,2016,原名:Marvel’s Captain America: 75 Heroic Years / 克里斯·埃文斯 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F26694467%2F&query=Captain+Marvel&cat_id=1002&type=search&pos=11
Captain Marvel,4777551,书籍,"Marvel Masterworks Captain Marvel Volume 3 (Marvel Masterworks Captain Marvel, Volume 3) ",(目前无人评价),,2008,Jim Starlin / Marvel Comics / 2008,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F4777551%2F&query=Captain+Marvel&cat_id=1001&type=search&pos=12
Captain Marvel,1919128,书籍,John Terry Captain Marvel ,(目前无人评价),,2006,"Oliver Derbyshire / John Blake Publishing, Limited / 2006",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F1919128%2F&query=Captain+Marvel&cat_id=1001&type=search&pos=13
Captain Marvel,26778923,书籍,Captain Marvel Vol. 2 ,(评价人数不足),,2015,Kelly Sue Deconnick / Marvel / 2015,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F26778923%2F&query=Captain+Marvel&cat_id=1001&type=search&pos=14
Captain Marvel,30368924,书籍,Marvel's Captain Marvel ,(目前无人评价),,2019,Eleni Roussos / Marvel / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F30368924%2F&query=Captain+Marvel&cat_id=1001&type=search&pos=15
